"Feature" "Gain" "Cover" "Frequency"
"234" "NAME_EDUCATION_TYPE.Higher.education" 746.246007442474 1214426 25
"235" "LANDAREA_MODE" 746.030580282211 5829891 88
"236" "DAYS_FIRST_DRAWING_MIN" 740.176594018936 14043557 74
"237" "CREDIT_currency.1" 738.939661741257 1724641 76
"238" "LANDAREA_MEDI" 735.70761680603 4449746 76
"239" "PRODUCT_COMBINATION_POS_industry_with_interest" 729.430639266968 4576167 40
"240" "Add_DIFF_PAYMENT_DRAWINGS_CARD_MAX" 724.579754590988 12226347 89
"241" "NUM_INSTALMENT_VERSION_6" 714.266080498695 9687145 89
"242" "APARTMENTS_MEDI" 711.857076644897 20062279 120
"243" "SK_DPD_TREND_MEAN_POS" 711.512165635824 10577172 83
"244" "AMT_DRAWINGS_ATM_CURRENT_MEAN" 701.673868656158 2361721 51
"245" "BASEMENTAREA_AVG" 700.795700073242 9748217 92
"246" "NUM_INSTALMENT_VERSION_4" 696.796024560928 7113757 92
"247" "HOUR_APPR_PROCESS_START_10" 692.575159072876 7223483 87
"248" "AMT_CREDIT_LIMIT_ACTUAL_MEAN" 679.612793445587 4631819 66
"249" "ORGANIZATION_TYPE.Self.employed" 675.459568500519 8678905 66
"250" "NAME_CLIENT_TYPE_Repeater" 670.983729600906 6033183 69
"251" "CHANNEL_TYPE_Stone" 662.095296859741 3735876 81
"252" "PRODUCT_COMBINATION_Cash_X.Sell._high" 661.331609725952 4477480 56
"253" "NAME_SELLER_INDUSTRY_Consumer_electronics" 660.906137466431 4429758 78
"254" "WEEKDAY_APPR_PROCESS_START_FRIDAY" 659.503776788712 2542721 83
"255" "NAME_YIELD_GROUP_middle" 655.357437968254 4532706 79
"256" "PRODUCT_COMBINATION_POS_household_with_interest" 654.488919258118 2125203 80
"257" "ENTRANCES_AVG" 652.888449192047 1971018 56
"258" "WEEKDAY_APPR_PROCESS_START_WEDNESDAY" 652.13538646698 10024483 104
"259" "NONLIVINGAREA_MEDI" 645.372413396835 4979022 76
"260" "CREDIT_ACTIVE_Closed" 643.96090555191 6923515 88
"261" "Add_DIFF_PAYMENT_RECEIVABLE_PRINCIPAL_CARD_MEAN" 637.301449537277 5616641 51
"262" "Add_DIFF_PAYMENT_INST_MIN_CARD_MAX" 630.215738296509 7793914 82
"263" "CODE_REJECT_REASON_miss" 629.945534944534 3566363 66
"264" "FLOORSMAX_AVG" 620.51581120491 1859463 47
"265" "BASEMENTAREA_MEDI" 609.847913265228 3426523 62
"266" "ORGANIZATION_TYPE.Business.Entity.Type.3" 606.884235262871 7810426 72
"267" "Add_CARD_DRAWINGS_POS_per_CNT_MAX" 605.255263566971 2429558 60
"268" "PRODUCT_COMBINATION_Cash_Street._low" 597.281346559525 14284770 79
"269" "HOUR_APPR_PROCESS_START_12" 594.26033115387 4385367 77
"270" "NAME_YIELD_GROUP_low_normal" 593.918153166771 12959059 90
"271" "COMMONAREA_MEDI" 593.083115577698 8255512 74
"272" "WEEKDAY_APPR_PROCESS_START_SUNDAY" 593.011924028397 3367309 79
"273" "BUREAU_MONTH_BALANCE_MIN_MIN" 587.967730522156 4994808 75
"274" "AMT_PAYMENT_TOTAL_CURRENT_MEAN" 570.565534591675 2528145 61
"275" "AMT_PAYMENT_CURRENT_MEAN" 568.560631036758 15029514 87
"276" "HOUR_APPR_PROCESS_START_16" 564.206847906113 4607539 74
"277" "NAME_PORTFOLIO_miss" 561.630800247192 2781605 64
"278" "LIVINGAPARTMENTS_AVG" 553.715175867081 6197292 67
"279" "NAME_CONTRACT_TYPE" 551.535799503326 2372777 26
"280" "OCCUPATION_TYPE.Drivers" 546.178133010864 8856562 54
"281" "NFLAG_INSURED_ON_APPROVAL_1" 545.582462072372 2568686 64
"282" "YEARS_BUILD_MODE" 539.011312007904 6070586 61
"283" "NUM_INSTALMENT_VERSION_7" 538.239627599716 10020640 54
"284" "ORGANIZATION_TYPE.Military" 534.331387281418 17516665 65
"285" "AMT_DRAWINGS_CURRENT_MEAN" 528.225506901741 5049780 50
"286" "COMMONAREA_AVG" 525.083622455597 3439088 59
"287" "PRODUCT_COMBINATION_POS_mobile_with_interest" 518.569581985474 1228034 61
