Feature,Gain,Cover,Frequency,run
DAYS_LAST_DUE_MIN,120.320960521698,93505,22,1
MONTHS_BALANCE_MAX_POS,119.518186092377,987445,23,1
AMT_DRAWINGS_CURRENT_MEAN,118.254770994186,71221,22,1
AMT_REQ_CREDIT_BUREAU_YEAR,118.089201211929,170929,20,1
NONLIVINGAPARTMENTS_AVG,117.970936059952,2846193,26,1
APARTMENTS_AVG,116.618399381638,352748,23,1
INSTALMENTS_LESS_MAX,115.564968347549,239101,24,1
AMT_APPLICATION_MIN,115.050072193146,44324,22,1
WEEKDAY_APPR_PROCESS_START_SUNDAY,114.482505559921,7470,19,1
OBS_30_CNT_SOCIAL_CIRCLE,114.392562150955,194873,21,1
CNT_DRAWINGS_CURRENT_MEAN,113.622354030609,121727,23,1
BUREAU_STATUS_ENTROPY_MAX,112.773314714432,355042,20,1
CREDIT_ACTIVE_Active,110.809895992279,90362,22,1
ORGANIZATION_TYPE.Business.Entity.Type.3,110.299176931381,75414,27,1
AMT_CREDIT_SUM_DEBT_MAX,109.051280260086,437857,18,1
AMT_CREDIT_SUM_DEBT_SUM,108.994844913483,83748,21,1
ENTRANCES_AVG,108.961941242218,358873,21,1
AMT_DRAWINGS_ATM_CURRENT_MEAN,108.595997095108,466598,22,1
NAME_SELLER_INDUSTRY_Consumer_electronics,106.091569185257,915951,21,1
DAYS_CREDIT_ENDDATE_POSITIVE_SUM,105.609407424927,176522,18,1
Add_DIFF_PAYMENT_RECEIVABLE_CARD_MAX,104.402097225189,151529,20,1
NONLIVINGAREA_MODE,102.937206268311,324151,22,1
CREDIT_DAY_OVERDUE_MAX,101.995887517929,3959373,25,1
AMT_CREDIT_SUM_LIMIT_SUM,101.938193798065,264725,16,1
BUREAU_MONTH_BALANCE_Nr_MEAN,99.3330919146538,294538,24,1
NAME_SELLER_INDUSTRY_Connectivity,98.3387019634247,324442,17,1
SELLERPLACE_AREA_41,96.7700333595276,699438,18,1
CODE_REJECT_REASON_HC,95.8859300613403,271313,18,1
PRODUCT_COMBINATION_Cash_X.Sell._high,94.2697455883026,227257,20,1
SELLERPLACE_AREA_36,93.8817932605743,4911488,24,1
YEARS_BUILD_MEDI,92.832944393158,94475,17,1
NAME_EDUCATION_TYPE.Higher.education,92.2171933650971,213553,20,1
Add_DIFF_DAYS_LAST_DUE_PREV_MEAN,92.1064345836639,10103,20,1
Consumer_credit_Nr,91.8631112575531,307178,19,1
SELLERPLACE_AREA_55,91.7726414203644,1100935,17,1
Add_CARD_DRAWINGS_ATM_per_CNT_MEAN,89.7318601608276,96931,16,1
Add_DIFF_RECEIVED_GOODS_PRICE_PREV_MIN,89.7124490737915,706232,16,1
OWN_CAR_AGE,89.0457608103752,141509,20,1
Add_RATIO_LIMIT_CREDIT_BUREAU_MEAN,87.3947412967682,92782,17,1
DAYS_DECISION_MIN,87.265615940094,50797,15,1
Add_DIFF_PAYMENT_DRAWINGS_CARD_MAX,87.1544315814972,318785,20,1
PRODUCT_COMBINATION_Card_Street,87.1380372047424,1006177,18,1
NAME_CONTRACT_STATUS_POSCASH_Completed,87.0883605480194,244637,18,1
YEARS_BUILD_MODE,86.9172677993774,152688,17,1
NAME_PAYMENT_TYPE_Cash_through_the_bank,86.4758968353272,205132,15,1
Add_DIFF_BALANCE_LIMIT_CARD_MAX,86.2799575328827,406615,15,1
HOUR_APPR_PROCESS_START_2,85.7952656745911,3101228,21,1
CNT_DRAWINGS_POS_CURRENT_MEAN,84.1541211605072,293121,16,1
LANDAREA_MEDI,84.0271594524384,68256,15,1
BUREAU_STATUS_C_MEAN,83.9972631931305,126696,17,1
BUREAU_STATUS_X_MEAN,82.8504068851471,18309,17,1
NAME_CONTRACT_STATUS_Refused,82.1217836141586,83355,15,1
CNT_INSTALMENT_MATURE_CUM_SUM,81.9745619297028,419400,16,1
NAME_YIELD_GROUP_miss,81.7219851016998,406582,15,1
PRODUCT_COMBINATION_Cash_X.Sell._low,80.8688848018646,145237,14,1
AMT_REQ_CREDIT_BUREAU_MON,80.5011932849884,1366269,19,1
BUREAU_STATUS_ENTROPY_MIN,80.0423264503479,46505,15,1
Add_DIFF_DAYS_LAST_DUE_PREV_MIN,79.4947347640991,175995,16,1
LANDAREA_MODE,79.095532655716,28053,14,1
CODE_REJECT_REASON_SCO,78.7904400825501,283784,17,1
NAME_YIELD_GROUP_middle,76.381459236145,346666,17,1
SELLERPLACE_AREA_27,76.0788073539734,1139610,15,1
HOUR_APPR_PROCESS_START_14,73.4887189865112,429899,12,1
NAME_PRODUCT_TYPE_walk.in,73.4288008213043,92949,13,1
NAME_CLIENT_TYPE_Repeater,72.3487515449524,310732,16,1
HOUR_APPR_PROCESS_START_15,72.2370002269745,154837,15,1
Add_DIFF_PAYMENT_INST_MIN_CARD_MAX,71.9215357303619,106078,13,1
DAYS_ENTRY_PAYMENT_MEAN,71.0138359069824,77130,14,1
AMT_INST_MIN_REGULARITY_MEAN,70.8329666852951,482075,14,1
Add_DIFF_PAYMENT_INST_MIN_CARD_MEAN,70.6553547382355,227638,15,1
CODE_REJECT_REASON_miss,70.517457485199,509716,16,1
Add_DIFF_DAYS_LAST_DUE_PREV_MAX,70.1970536708832,137371,15,1
AMT_CREDIT_SUM_LIMIT_MEAN,69.5396760702133,233819,17,1
NAME_CONTRACT_STATUS_CC_Signed_SUM,68.6915936470032,1762494,16,1
CREDIT_ACTIVE_Closed,68.5229108333588,20409,13,1
SELLERPLACE_AREA_31,67.4175794124603,1245688,15,1
AMT_CREDIT_SUM_OVERDUE_SUM,67.1772410869598,580845,16,1
WEEKDAY_APPR_PROCESS_START_TUESDAY,66.4666703939438,93202,12,1
AMT_GOODS_PRICE_MEAN,66.4320685863495,920250,15,1
SELLERPLACE_AREA_21,66.4156217575073,211014,15,1
SELLERPLACE_AREA_56,66.2434370517731,56875,18,1
DAYS_FIRST_DRAWING_MAX,64.8156700134277,865059,14,1
REG_REGION_NOT_LIVE_REGION,64.2692277431488,2737626,16,1
ELEVATORS_AVG,64.2543153762818,9493,11,1
COMMONAREA_MEDI,62.4817595481873,113079,14,1
Add_DIFF_PAYMENT_RECEIVABLE_CARD_MEAN,61.2914364337921,78589,13,1
SK_DPD_MEAN_POS,61.1108117103577,26857,11,1
SK_DPD_MAX_POS,60.9321348667145,40840,10,1
AMT_BALANCE_MEAN,60.8232998847961,111838,12,1
Add_RATIO_CHILD,60.7058825492859,227517,14,1
NAME_YIELD_GROUP_low_normal,59.8336102962494,49776,13,1
BUREAU_STATUS_2_MEAN,59.3403663635254,266202,13,1
Add_DIFF_PAYMENT_RECEIVABLE_PRINCIPAL_CARD_MAX,59.202445268631,53072,11,1
FLOORSMIN_AVG,58.9163811206818,51566,12,1
NAME_PRODUCT_TYPE_x.sell,58.4029717445374,363025,10,1
CNT_DRAWINGS_ATM_CURRENT_MEAN,57.1582343578339,88914,12,1
NONLIVINGAREA_MEDI,56.7051486968994,158364,11,1
PRODUCT_COMBINATION_Cash_X.Sell._middle,56.6122210025787,59294,10,1
AMT_PAYMENT_TOTAL_CURRENT_MEAN,55.5055179595947,250017,12,1
ORGANIZATION_TYPE.Trade..type.3,55.3626048564911,396328,15,1
CHANNEL_TYPE_Contact_center,54.2461009025574,32043,10,1
PRODUCT_COMBINATION_Cash,54.0158383846283,93733,11,1
Add_RATIO_PAYMENT_BUREAU_MEAN,53.900664806366,209502,12,1
HOUR_APPR_PROCESS_START_13,53.7843351364136,496844,11,1
Add_DIFF_RECEIVABLE_PRINCIPAL_BALANCE_CARD_MEAN,53.6626286506653,694918,11,1
CNT_FAM_MEMBERS,53.5534775257111,51955,14,1
BUREAU_STATUS_1_MEAN,53.0582718849182,99421,9,1
Nr_PREV_APPL_CNT,52.9120790958405,36765,10,1
