Feature,Gain,Cover,Frequency
RATE_DOWN_PAYMENT_MAX,31.7163867950439,721,2
NONLIVINGAREA_MEDI,25.2195243835449,2329,1
LANDAREA_MEDI,23.3557147979736,1022,1
NAME_TYPE_SUITE_miss,22.2716484069824,713,1
Add_CARD_DRAWINGS_ATM_per_CNT_MEAN,21.1513671875,1179,1
NA_AMT_CREDIT_SUM_LIMIT,21.146541595459,9096,1
NFLAG_LAST_APPL_IN_DAY_1,20.0253200531006,1905,1
DAYS_ENDDATE_FACT_MEAN,19.6245040893555,156,1
OCCUPATION_TYPE.Drivers,19.1417293548584,1080,1
NAME_GOODS_CATEGORY_6,19.1342754364014,774,1
AMT_CREDIT_SUM_LIMIT_MEAN,18.9716453552246,110,1
NA_YEARS_BUILD,18.9453220367432,781,1
FLAG_LAST_APPL_PER_CONTRACT_1,18.8877220153809,1834,1
CREDIT_ACTIVE_Closed,18.8539657592773,1155,1
DAYS_TERMINATION_MIN,18.8250217437744,426,1
TOTALAREA_MODE,18.7780704498291,550,1
NAME_GOODS_CATEGORY_2,18.3647441864014,1629,1
NAME_PAYMENT_TYPE_miss,18.330286026001,517,1
CREDIT_ACTIVE_Sold,18.3231639862061,275,1
BUREAU_STATUS_0_MEAN,18.0952377319336,320,1
COMMONAREA_MODE,17.9500789642334,1142,1
NAME_PORTFOLIO_POS,17.9185829162598,8453,1
DAYS_CREDIT_MIN,17.789571762085,1258,1
NAME_CONTRACT_STATUS_CC_Active_SUM,17.7882518768311,301,1
AMT_CREDIT_LIMIT_ACTUAL_MAX,17.7872714996338,606,1
NA_AMT_DOWN_PAYMENT_MEAN,17.7485675811768,186,1
NAME_YIELD_GROUP_middle,17.5538673400879,2571,1
CHANNEL_TYPE_Contact_center,17.5273818969727,1502,1
HOUR_APPR_PROCESS_START_12,17.526008605957,355,1
REG_REGION_NOT_WORK_REGION,17.1993045806885,703,1
NAME_CONTRACT_STATUS_POSCASH_Signed,17.0404968261719,1048,1
FLOORSMIN_AVG,16.9759063720703,3084,1
NAME_YIELD_GROUP_high,16.9214019775391,1117,1
NAME_CONTRACT_TYPE_Cash_loans,16.9068126678467,725,1
DAYS_FIRST_DRAWING_MAX,16.8099822998047,1670,1
BASEMENTAREA_MODE,16.7568244934082,1287,1
NUM_INSTALMENT_VERSION_8,16.5968074798584,621,1
BUREAU_MONTH_BALANCE_MAX_MAX,16.5397987365723,2784,1
CODE_REJECT_REASON_miss,16.4172248840332,141,1
WEEKDAY_APPR_PROCESS_START_TUESDAY,16.3843154907227,129,1
BUREAU_STATUS_3_MEAN,16.3814086914063,2938,1
BUREAU_MONTH_BALANCE_MIN_MIN,16.3512878417969,632,1
Nr_INSTALLMENTS_MEAN,16.3456077575684,1007,1
CREDIT_currency.3,16.2873401641846,255,1
NONLIVINGAPARTMENTS_MODE,16.2127590179443,540,1
